Step: 1488,    val PPL: 867.95013,     best val PPL: 867.73,    best val loss: 60.77821
Step: 1500,    val PPL: 875.2962,     best val PPL: 867.73,    best val loss: 60.77821
Step: 1512,    val PPL: 882.47345,     best val PPL: 867.73,    best val loss: 60.77821
Step: 1524,    val PPL: 863.5128,     best val PPL: 863.5128,    best val loss: 60.717873
Step: 1536,    val PPL: 855.32214,     best val PPL: 855.32214,    best val loss: 60.666924
Step: 1548,    val PPL: 857.8677,     best val PPL: 855.32214,    best val loss: 60.65377
Step: 1560,    val PPL: 862.1144,     best val PPL: 855.32214,    best val loss: 60.65377
Step: 1572,    val PPL: 861.12134,     best val PPL: 855.32214,    best val loss: 60.65377
Step: 1584,    val PPL: 858.51544,     best val PPL: 855.32214,    best val loss: 60.65377
Step: 1596,    val PPL: 863.4128,     best val PPL: 855.32214,    best val loss: 60.65377
Step: 1608,    val PPL: 853.823,     best val PPL: 853.823,    best val loss: 60.627663
Step: 1620,    val PPL: 861.75433,     best val PPL: 853.823,    best val loss: 60.627663
Step: 1632,    val PPL: 852.7021,     best val PPL: 852.7021,    best val loss: 60.563595
Step: 1644,    val PPL: 865.7821,     best val PPL: 852.7021,    best val loss: 60.563595
Step: 1656,    val PPL: 858.30096,     best val PPL: 852.7021,    best val loss: 60.563595
Step: 1668,    val PPL: 865.5794,     best val PPL: 852.7021,    best val loss: 60.563595
Step: 1680,    val PPL: 839.81647,     best val PPL: 839.81647,    best val loss: 60.48369
Step: 1692,    val PPL: 867.7821,     best val PPL: 839.81647,    best val loss: 60.48369
Step: 1704,    val PPL: 842.152,     best val PPL: 839.81647,    best val loss: 60.48369
Step: 1716,    val PPL: 866.97394,     best val PPL: 839.81647,    best val loss: 60.48369
Step: 1728,    val PPL: 843.6053,     best val PPL: 839.81647,    best val loss: 60.48369
Step: 1740,    val PPL: 850.72504,     best val PPL: 839.81647,    best val loss: 60.48369
Step: 1752,    val PPL: 853.381,     best val PPL: 839.81647,    best val loss: 60.48369
Step: 1764,    val PPL: 848.7121,     best val PPL: 839.81647,    best val loss: 60.48369
Step: 1776,    val PPL: 867.6712,     best val PPL: 839.81647,    best val loss: 60.48369
Step: 1788,    val PPL: 839.1376,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1800,    val PPL: 856.3428,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1812,    val PPL: 853.488,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1824,    val PPL: 842.1299,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1836,    val PPL: 860.01013,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1848,    val PPL: 855.5657,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1860,    val PPL: 865.697,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1872,    val PPL: 842.726,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1884,    val PPL: 870.0643,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1896,    val PPL: 850.67474,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1908,    val PPL: 860.7359,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1920,    val PPL: 845.7021,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1932,    val PPL: 873.23804,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1944,    val PPL: 847.60803,     best val PPL: 839.1376,    best val loss: 60.48369
Step: 1956,    val PPL: 837.06744,     best val PPL: 837.06744,    best val loss: 60.48369
Step: 1968,    val PPL: 863.84186,     best val PPL: 837.06744,    best val loss: 60.48369
Step: 1980,    val PPL: 871.9345,     best val PPL: 837.06744,    best val loss: 60.48369
Step: 1992,    val PPL: 868.98956,     best val PPL: 837.06744,    best val loss: 60.48369
Step: 2004,    val PPL: 848.51184,     best val PPL: 837.06744,    best val loss: 60.48369
Step: 2016,    val PPL: 880.074,     best val PPL: 837.06744,    best val loss: 60.48369
Step: 2028,    val PPL: 857.5879,     best val PPL: 837.06744,    best val loss: 60.48369
Step: 2040,    val PPL: 869.725,     best val PPL: 837.06744,    best val loss: 60.48369
Step: 2052,    val PPL: 851.4746,     best val PPL: 837.06744,    best val loss: 60.48369
